Part	Value	Device	Mfr.	Mfr.#	Package	Description	
C1	10uF	CAP_TANTALUMB/3528_WAVE	AVX	TAJA106K016RNJ	EIA3528-21/B-W	Tantalum Capacitors	
C2	10uF	CAP_TANTALUMB/3528_WAVE	AVX	TAJA106K016RNJ	EIA3528-21/B-W	Tantalum Capacitors	
C3	0.1uF	CAP_CERAMIC0402	TDK	C1005X7R1A104K	402	Ceramic Capacitors	
C4	0.1uF	CAP_CERAMIC0402	TDK	C1005X7R1A104K	402	Ceramic Capacitors	
C5	0.1uF	CAP_CERAMIC0402	TDK	C1005X7R1A104K	402	Ceramic Capacitors	
C6	0.1uF	CAP_CERAMIC0402	TDK	C1005X7R1A104K	402	Ceramic Capacitors	
C7	0.1uF	CAP_CERAMIC0402	TDK	C1005X7R1A104K	402	Ceramic Capacitors	
C8	0.1uF	CAP_CERAMIC0402	TDK	C1005X7R1A104K	402	Ceramic Capacitors	
C9	0.1uF	CAP_CERAMIC0402	TDK	C1005X7R1A104K	402	Ceramic Capacitors	
IC1		ATMEGA168MLF	Atmel	ATMEGA328P-MU	MLF32	Atmel 32-pin 8-bit micro	 16k flash.
LED1	D1	LED0805	Dialight	598-8110-107F	CHIPLED_0805	LED	
LED2		LED0805	Dialight	598-8170-107F	CHIPLED_0805	LED	
R1	330	RESISTOR0402	Vishay	CRCW0402330RJNED	402	Resistors	
R2	10K	RESISTOR0402	Vishay	CRCW040210K0JNEDHP	402	Resistors	
R3	330	RESISTOR0402	Vishay	CRCW0402330RJNED	402	Resistors	
R4	27	RESISTOR0402	Vishay	CRCW040227R0FKED	402	Resistors	
R5	27	RESISTOR0402	Vishay	CRCW040227R0FKED	402	Resistors	
SJ1	SPST_SMD	SPST_SMD			SPST_SMD		
SJ2	SPST_SMD	SPST_SMD			SPST_SMD		
SJ3	SPST_SMD	SPST_SMD			SPST_SMD		
SJ4	SPST_SMD	SPST_SMD			SPST_SMD		
U$2	05_PINHEAD_1X6	05_PINHEAD_1X6			05_PINHEAD_1X6_PACKAGE		
U$3	05_PINHEAD_1X8	05_PINHEAD_1X8			05_PINHEAD_1X8_PACKAGE		
U$4	05_PINHEAD_1X14	05_PINHEAD_1X14			05_PINHEAD_1X14_PACKAGE		
U$5	CSTCE16MOV51-RO	CSTCE16MOV51-RO	Murata	CSTCE16M0V51-R0	CSTCE16M0V51-RO_PACKAGE	This is the CSTCE16M0V51-R0 Murata resonator (CERALOCK) 16Mhz 0.5% Tolerance	
U$6	SPST_SMD	SPST_SMD			SPST_SMD		
U$7	FT230XQ	FT230XQ	FTDI	FT230XQ-R	FT230XQ		
U1	MIC5205	LDO_REGULATOR	Texas Instruments	TPS76350DBVR	LDO_REGULATOR		
USB1	USB_MICROB	USB_MICROB	Hirose Electric	ZX62-B-5PA(11)	USB_MICROB_PACKAGE	This is the hirose ZX62-B-5PA(11) MICRO-USB B Type female connection.	
