"Qty";"Value";"Device/Manufacturer";"Package";"Parts";"Description"
"7";"0.1uF";"C1005X7R1A104K050BB";"0402";"C1, C2, C3, C4, C5, C6, C7";"Ceramic Capacitors"
"1";"DNP";;;"U$4";
"1";"DNP";;;"U$2";
"1";"DNP";;;"U$3";
"1";"DNP";;;"U$28";
"1";"10K";"CRCW040210K0JNEDHP";"_0402";"R4";"Resistors"
"2";"10uF";"TAJA106K016RNJ";"EIA3216-18/A-R";"C8, C9";"Tantalum Capacitors"
"2";"27";"CRCW040227R0FKED";"0402";"R1, R2";"Resistors"
"2";"330";"CRCW0402330RJNED";"0402";"R3, R5";"Resistors"
"1";"ATMEGA328MLF";"ATMEGA328P-MU";"MLF32";"U1";"Atmel 32-pin 8-bit micro, 32k flash."
"1";"16MHz";"CSTCE16M0V51-R0";"CSTCE16M0V51-R0_PACKAGE";"U$22";"This is the CSTCE16M0V51-R0 Murata resonator (CERALOCK) 16Mhz 0.5% Tolerance"
"1";"GREEN";"598-8070-102F";"0603";"LED2";"LED"
"1";"FT230XQ";"FT230XQ-R";"QFN-16";"U$1";
"1";"LDO_REGULATOR";"TPS76350DBVR";"SOT-23-5";"U$10";
"1";"RED";"598-8010-102F";"0603";"LED1";"LED"
"1";"DNP";;;"U$17";
"1";"USB_MICROB";"ZX62-B-5PA(11)";"USB_MICROB_PACKAGE";"U$6";"This is the hirose ZX62-B-5PA(11) MICRO-USB B Type female connection."
